Clave,Nombre,Etiqueta,Numero_instituciones,Preferencia,Año
S5,SE - CECYTEM,10_2020,4440,10,2020
S7,SE - P.O. (1),10_2020,11174,10,2020
S8,SE - P.O. (2),10_2020,10376,10,2020
T3,UEMSTAyCM CMM,10_2020,247,10,2020
U6,UNAM,10_2020,17118,10,2020
A3,UEMSTAyCM CBTA,11_2020,426,11,2020
B0,Bachilleres,11_2020,19217,11,2020
C1,CONALEP,11_2020,12473,11,2020
D4,UEMSTIS,11_2020,18911,11,2020
G2,Dirección General del Bachillerato,11_2020,762,11,2020
I5,IPN,11_2020,16165,11,2020
M9,UAEM,11_2020,87,11,2020
NO,Desconocido,11_2020,199900,11,2020
S0,SE - COBAEM,11_2020,1354,11,2020
S1,SE - CONALEP ESTADO DE MÉXICO,11_2020,4120,11,2020
S2,SE - TELEBACHILLERATO,11_2020,438,11,2020
S4,SE - CBT,11_2020,3309,11,2020
S5,SE - CECYTEM,11_2020,2439,11,2020
S7,SE - P.O. (1),11_2020,5745,11,2020
S8,SE - P.O. (2),11_2020,6057,11,2020
T3,UEMSTAyCM CMM,11_2020,205,11,2020
U6,UNAM,11_2020,11101,11,2020
A3,UEMSTAyCM CBTA,12_2020,361,12,2020
B0,Bachilleres,12_2020,15381,12,2020
C1,CONALEP,12_2020,10632,12,2020
D4,UEMSTIS,12_2020,15708,12,2020
G2,Dirección General del Bachillerato,12_2020,531,12,2020
I5,IPN,12_2020,12064,12,2020
M9,UAEM,12_2020,66,12,2020
NO,Desconocido,12_2020,222511,12,2020
S0,SE - COBAEM,12_2020,986,12,2020
S1,SE - CONALEP ESTADO DE MÉXICO,12_2020,3041,12,2020
S2,SE - TELEBACHILLERATO,12_2020,328,12,2020
S4,SE - CBT,12_2020,2386,12,2020
S5,SE - CECYTEM,12_2020,1706,12,2020
S7,SE - P.O. (1),12_2020,4060,12,2020
S8,SE - P.O. (2),12_2020,4543,12,2020
T3,UEMSTAyCM CMM,12_2020,180,12,2020
